500V,1.5V,15mA,1.75V,7.5A,12A,20mA,500µA,120A* 132A,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB,
600V,1V,20mA,1.9V,7.8A,12A,40mA,10µA,100A @ 60Hz,Standard Recovery,-40°C ~ 125°C,Surface Mount,TO-252-3* DPak (2 Leads + Tab)* SC-63,DPAK,
600V,1.5V,200µA,2V,-,8A,6mA,10µA,100A @ 60Hz,Sensitive Gate,-40°C ~ 110°C,Through Hole,TO-220-3,TO-220AB,
1kV,1.3V,25mA,1.6V,10A,16A,40mA,5µA,190A* 200A,Standard Recovery,-40°C ~ 125°C,Surface Mount,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,D2PAK,
600V,1.3V,5mA,1.6V,5A,8A,25mA,5µA,70A* 73A,Standard Recovery,-40°C ~ 125°C,Surface Mount,TO-252-3* DPak (2 Leads + Tab)* SC-63,D-Pak,
1.2kV,2V,45mA,1.25V,16A,25A,150mA,500µA,350A @ 50Hz,Standard Recovery,-40°C ~ 125°C,Surface Mount,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,TO-263AB (D²PAK),
1.2kV,2V,45mA,1.25V,16A,25A,100mA,500µA,350A @ 50Hz,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3 Full Pack,TO-220ABFP,
400V,1.5V,30mA,2.2V,-,12A,50mA,10µA,100A @ 60Hz,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB,
600V,1.5V,30mA,1.8V,16A,25A,40mA,10µA,250A @ 60Hz,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB,
800V,1.5V,30mA,1.8V,16A,25A,40mA,10µA,250A @ 60Hz,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB,
1.2kV,2.5V,150mA,1.85V,35A,55A,150mA,500µA,600A @ 50Hz,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-247-3,TO-247AC,
1.2kV,2.5V,150mA,1.85V,35A,55A,150mA,500µA,600A @ 50Hz,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-247-3,TO-247AC,
800V,1V,35mA,1.5V,16A,25A,60mA,1mA,300A* 330A,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB,
1.6kV,1.5V,100mA,1.64V,48A,75A,100mA,5mA,520A* 560A,Standard Recovery,-40°C ~ 140°C,Through Hole,ISOPLUS247™,ISOPLUS247™,
400V,800mV,200µA,1.7V,500mA,800mA,5mA,100µA,8A* 9A,Sensitive Gate,-,Through Hole,TO-226-3* TO-92-3 (TO-226AA),TO-92-3,
600V,1.5V,30mA,1.7V,10A,16A,40mA,10µA,160A @ 60Hz,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB,
200V,800mV,200µA,1.7V,500mA,800mA,5mA,1µA,-,Standard Recovery,-40°C ~ 125°C (TJ),Through Hole,TO-226-3* TO-92-3 (TO-226AA),
800V,1.3V,80mA,1.9V,32A,50A,150mA,10µA,580A* 610A,Standard Recovery,-40°C ~ 125°C,Through Hole,TOP-3,TOP3,
600V,800mV,200µA,2.2V,2.55A,4A,3mA,10µA,20A @ 60Hz,Sensitive Gate,-40°C ~ 110°C,Through Hole,TO-225AA* TO-126-3,TO-225AA,
1.6kV,1.3V,28mA,1.7V,30A,50A,60mA,10µA,260A* 280A,Standard Recovery,-40°C ~ 150°C,Through Hole,TO-220-3 Full Pack* Isolated Tab,
400V,800mV,100µA,1.6V,300mA,470mA,3mA,100µA,10A @ 60Hz,Sensitive Gate,-40°C ~ 125°C,Through Hole,TO-226-3* TO-92-3 (TO-226AA),
1.6kV,1V,55mA,1.63V,30A,49A,100mA,50µA,400A* 430A,Standard Recovery,-40°C ~ 150°C,Through Hole,TO-3P-3 Full Pack,
600V,2V,50mA,1.8V,41A,65A,80mA,20µA,800A* 950A,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-218X-3 Isolated Tab,
1.6kV,3V,150mA,1.55V,230A,360A,600mA,30mA,4800A* 5000A,Standard Recovery,-40°C ~ 125°C,Chassis* Stud Mount,TO-209AB* TO-93-4* Stud,TO-209AB (TO-93),
50V,1.5V,25mA,1.6V,5A,8A,45mA,5µA,80A* 84A,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB,
1.2kV,1.5V,40mA,1.6V,16A,25A,50mA,5µA,250A* 260A,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3,
400V,1.5V,25mA,1.6V,10A,16A,40mA,5µA,160A* 167A,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3,
800V,1.3V,40mA,1.6V,16A,25A,50mA,5µA,300A* 314A,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-220-3,
1.2kV,1.5V,100mA,1.4V,70A,75A,200mA,1mA,1400A @ 50Hz,Standard Recovery,-40°C ~ 125°C,Through Hole,TO-274AA,SUPER-247 (TO-274AA),
600V,800mV,50µA,1.8V,900mA,1.35A,5mA,5µA,30A* 33A,Sensitive Gate,-40°C ~ 125°C,Through Hole,TO-202 No Tab,TO-202,
