Yes,Intel CPU* PCI Express (PCIe)* Timing Control Hub™,Crystal,Clock,1,1:21,No/Yes,444MHz,3.135 V ~ 3.465 V,0°C ~ 70°C,Surface Mount,"48-BSSOP (0.295""* 7.50mm Width)",48-SSOP
Yes,CPU,Crystal,Clock,1,1:22,No/Yes,200MHz,3.135 V ~ 3.465 V,0°C ~ 70°C,Surface Mount,"56-TFSOP (0.240""* 6.10mm Width)",56-TSSOP
Yes,SONET/SDH,CML,LVDS,1,1:02,Yes/Yes,675MHz,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,32-WFQFN Exposed Pad* CSP,32-LFCSP-WQ (5x5)
Yes,PCI Express (PCIe),HCSL* LVDS* LVHSTL* LVPECL* SSTL,LVDS,1,1:01,Yes/Yes,640MHz,2.375 V ~ 3.465 V,-40°C ~ 85°C,Surface Mount,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP
No,Telecom,Clock,Clock,1,1:02,No/No,2.048MHz,3.135 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,"18-SOIC (0.295""* 7.50mm Width)",18-SOIC
Yes,CPU,Crystal,Clock,1,1:22,No/Yes,200MHz,3.135 V ~ 3.465 V,0°C ~ 70°C,Surface Mount,"56-TFSOP (0.240""* 6.10mm Width)",56-TSSOP
Yes,Intel CPU* PCI Express (PCIe),Crystal,Clock,1,1:19,No/Yes,400MHz,3.135 V ~ 3.465 V,0°C ~ 70°C,Surface Mount,"56-TFSOP (0.240""* 6.10mm Width)",56-TSSOP
Yes,T1/E1,Clock* Crystal,Clock,1,3:08,No/No,65.536MHz,2.97 V ~ 3.63 V,-40°C ~ 85°C,Surface Mount,64-TQFP,64-TQFP (10x10)
Yes,Intel CPU* PCI Express (PCIe),Crystal,Clock,1,1:19,No/Yes,400MHz,3.135 V ~ 3.465 V,0°C ~ 70°C,Surface Mount,"56-TFSOP (0.240""* 6.10mm Width)",56-TSSOP
Yes,T1/E1,Clock* Crystal,Clock,1,3:08,No/No,65.536MHz,2.97 V ~ 3.63 V,-40°C ~ 85°C,Surface Mount,64-TQFP,64-TQFP (10x10)
Yes,Ethernet* Fibre Channel* PCI Express (PCIe)* Telecom,CML* CMOS* HCSL* HSCL* HSTL* LVDS* LVPECL* SSTL* Crystal,HCSL* HSTL* LVCMOS* LVDS* LVPECL* SSTL,1,4:04,Yes/Yes,710MHz,1.71 V ~ 3.63 V,-40°C ~ 85°C,Surface Mount,24-VFQFN Exposed Pad,24-QFN (4x4)
