3.6pF @ 6V* 50MHz,3.4,C1/C6,15V,Single,-,-55°C ~ 125°C (TJ),Surface Mount,SC-79* SOD-523,SC-79,
5.5pF @ 4V* 1MHz,4.5,C1/C4,10V,Single,-,-55°C ~ 125°C (TJ),Surface Mount,SC-79* SOD-523,PG-SC79-2,
13.7pF @ 8V* 1MHz,2.6,C3/C8,15V,1 Pair Common Cathode,-,125°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,S-Mini,
12pF @ 4V* 1MHz,4.3,C1/C4,10V,Single,-,125°C (TJ),Surface Mount,SC-76* SOD-323,USC,
12pF @ 4V* 1MHz,4.3,C1/C4,10V,Single,-,125°C (TJ),Surface Mount,SC-79* SOD-523,ESC,
2.25pF @ 28V* 1MHz,10,C1/C28,30V,Single,-,-55°C ~ 125°C (TJ),Surface Mount,SC-76* SOD-323,SOD-323,
2.25pF @ 28V* 1MHz,10.9,C1/C28,32V,Single,-,-55°C ~ 125°C (TJ),Surface Mount,SOD-882,SOD-882T,
2.92pF @ 25V* 1MHz,11,C2/C25,32V,Single,-,-55°C ~ 125°C (TJ),Surface Mount,SOD-882,SOD-882T,
2.3pF @ 28V* 1MHz,9.8,C1/C28,30V,Single,-,-55°C ~ 150°C (TJ),Surface Mount,SC-76* SOD-323,PG-SOD323-2,
3.3pF @ 28V* 1MHz,25,C1/C28,30V,Single,-,-55°C ~ 150°C (TJ),Surface Mount,SC-76* SOD-323,PG-SOD323-2,
5.5pF @ 4V* 1MHz,4.5,C1/C4,10V,Single,-,-55°C ~ 125°C (TJ),Surface Mount,SC-79* SOD-523,PG-SC79-2,
6pF @ 25V* 1MHz,6.5,C3/C25,30V,Single,-,-55°C ~ 125°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,TO-236AB (SOT23),
2.8pF @ 4.7V* 1MHz,10.9,C0.3/C4.7,15V,Single,-,-55°C ~ 150°C (TJ),Surface Mount,SC-79* SOD-523,PG-SC79-2,
13.5pF @ 4.5V* 1MHz,5.41,C1/C4.5,12V,Single,-,-55°C ~ 150°C (TJ),Surface Mount,SC-79* SOD-523,PG-SC79-2,
3.7pF @ 4V* 1MHz,2.2,Condition C1/C4,7V,Single,Q @ Vr* F -,-55°C ~ 125°C (TJ),Surface Mount,SC-76* SOD-323,PG-SOD323-2,
6.5pF @ 10V* 1MHz,3,Condition C2/C10,16V,Single,Q @ Vr* F -,-55°C ~ 150°C (TJ),Surface Mount,SC-76* SOD-323,PG-SOD323-2,
12.1pF @ 4V* 1MHz,3.3,Condition C1/C3,10V,Single,Q @ Vr* F -,-55°C ~ 150°C (TJ),Surface Mount,SC-76* SOD-323,PG-SOD323-2,
12.1pF @ 4V* 1MHz,3.3,Condition C1/C3,10V,Single,Q @ Vr* F -,-55°C ~ 150°C (TJ),Surface Mount,SC-76* SOD-323,PG-SOD323-2,
5.3pF @ 6V* 50MHz,3.5,C1/C6,15V,Single,-,-55°C ~ 125°C (TJ),Surface Mount,SC-79* SOD-523,SC-79,
0.78pF @ 4.7V* 50MHz,10,C0.3/C4.7,15V,Single,1500 @ 3V* 50MHz,-55°C ~ 125°C (TJ),Surface Mount,SC-79* SOD-523,SC-79,
2.89pF @ 28V* 1MHz,22,C1/C28,30V,Single,-,-55°C ~ 125°C (TJ),Surface Mount,SC-79* SOD-523,SC-79,
0.34pF @ 20V* 50MHz,2.3,C4/C20,22V,Single,500 @ 4V* 50MHz,-55°C ~ 125°C (TJ),Surface Mount,SC-79* SOD-523,SC-79,
0.43pF @ 20V* 50MHz,2.8,C4/C20,22V,Single,500 @ 4V* 50MHz,-55°C ~ 125°C (TJ),Surface Mount,SC-79* SOD-523,SC-79,
-,-,-,22V,Single,500 @ 4V* 50MHz,-55°C ~ 175°C (TJ),Surface Mount,0402 (1005 Metric),0402,
-,-,-,22V,Single,500 @ 4V* 50MHz,-55°C ~ 175°C (TJ),Surface Mount,0402 (1005 Metric),0402,
-,-,-,22V,Single,400 @ 4V* 50MHz,-55°C ~ 175°C (TJ),Surface Mount,0402 (1005 Metric),0402,
